Type,Produit,Date de début,Date de fin,Description,Montant,Frais,Devise,État,Solde
Paiement par carte,Valeur actuelle,2025-10-06 14:38:03,2025-10-07 06:44:25,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,69.76
Paiement par carte,Valeur actuelle,2025-10-06 22:16:03,2025-10-07 06:44:25,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,63.16
Paiement par carte,Valeur actuelle,2025-10-07 13:47:42,2025-10-08 06:44:50,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,56.56
Paiement par carte,Valeur actuelle,2025-10-07 16:09:26,2025-10-08 06:44:51,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,54.26
Paiement par carte,Valeur actuelle,2025-10-06 23:38:24,2025-10-08 06:44:54,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,51.96
Paiement par carte,Valeur actuelle,2025-10-07 20:36:52,2025-10-09 06:28:42,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,40.96
Changes,Valeur actuelle,2025-10-09 12:57:18,2025-10-09 12:57:18,Change en EUR,-18.65,0.00,CHF,TERMINÉ,22.31
Changes,Valeur actuelle,2025-10-09 13:07:52,2025-10-09 13:07:52,Change en EUR,-22.31,0.00,CHF,TERMINÉ,0.00
Changes,Valeur actuelle,2025-10-28 21:09:34,2025-10-28 21:09:34,Change en CHF,1300.00,0.00,CHF,TERMINÉ,1300.00
Virement,Valeur actuelle,2025-11-03 17:13:09,2025-11-04 05:10:08,Virement SWIFT à : Marie Baudois,-1200.00,1.44,CHF,TERMINÉ,98.56
Changes,Valeur actuelle,2025-11-04 06:46:02,2025-11-04 06:46:02,Transfer to Revolut Digital Assets Europe Ltd,-30.00,0.00,CHF,TERMINÉ,68.56
Remboursement,Valeur actuelle,2025-11-05 10:31:37,2025-11-05 10:31:37,Transfer to Notprovided refund,1200.00,0.00,CHF,TERMINÉ,1268.56
Virement,Valeur actuelle,2025-11-05 11:01:18,2025-11-05 11:01:18,Virement à un utilisateur Revolut,-1200.00,0.00,CHF,TERMINÉ,68.56
Paiement par carte,Valeur actuelle,2025-11-06 13:14:59,2025-11-07 06:58:40,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,57.56
Paiement par carte,Valeur actuelle,2025-11-11 20:42:09,2025-11-13 06:26:39,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,50.96
Paiement par carte,Valeur actuelle,2025-11-12 14:33:54,2025-11-13 06:26:40,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,44.36
Paiement par carte,Valeur actuelle,2025-11-11 20:41:08,2025-11-13 06:26:41,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,42.06
Paiement par carte,Valeur actuelle,2025-11-12 16:11:03,2025-11-13 06:26:41,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,39.76
Paiement par carte,Valeur actuelle,2025-11-12 23:12:55,2025-11-14 06:32:02,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,37.46
Paiement par carte,Valeur actuelle,2025-11-12 23:14:01,2025-11-14 06:32:03,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,30.86
Paiement par carte,Valeur actuelle,2025-11-13 13:48:06,2025-11-14 06:32:05,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,24.26
Paiement par carte,Valeur actuelle,2025-11-13 16:14:37,2025-11-14 06:32:05,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,21.96
Paiement par carte,Valeur actuelle,2025-11-16 09:46:36,2025-11-17 06:29:52,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,10.96
Paiement par carte,Valeur actuelle,2025-11-23 19:32:11,2025-11-24 06:29:03,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,4.36
Paiement par carte,Valeur actuelle,2025-11-24 06:53:38,2025-11-25 06:44:20,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,2.06
Changes,Valeur actuelle,2025-11-25 13:50:07,2025-11-25 13:50:07,Change en CHF,40.00,0.00,CHF,TERMINÉ,42.06
